Dighi No.,Latitude,Longitude,
P-1,22.199263,89.140711,
P-2,22.249086,89.06245,
P-3,22.219961,89.092994,
P-4,22.400034,89.161137,
P-5,22.388962,89.157273,
P-6,22.311433,89.172312,
P-7,22.253297,89.219632,
P-8,22.273187,89.197362,
P-9,22.349173,89.202706,4
P-10,22.392546,89.003705,
P-11,22.556836,88.962438,2
P-12,22.548482,89.161387,5
P-13,22.547621,89.176835,
P-14,22.404334,89.209165,
P-15,22.821845,89.262657,6
P-16,22.64775,89.424255,
P-17,22.787352,89.33525,
P-18,22.794616,89.370974,1
P-19,22.580932,89.385659,
P-20,22.60138,89.519758,3
P-21,22.73871,89.515277,
