sl,Training Detail,InvoiceNo,Batch Date,GOB,RPA,Catagory
1,"Advance (2,00,000.00)",LIVELIHOOD-1,8/27/2017,0,0,APSS
2,Fartilizer (T. Amon - 01),LIVELIHOOD-2,8/28/2017,19260,199580,APSS
3,Farmers Training Programe specially for agricultural promotion (01-02),LIVELIHOOD-3,8/29/2017,25547,199319,APSS
4,Fartilizer (T. Amon - 02),LIVELIHOOD-4,8/30/2017,19296,199949,APSS
5,Farmers Training Programe specially for agricultural promotion (03-04),LIVELIHOOD-5,8/31/2017,25547,199320,APSS
6,Farmers Training Programe specially for agricultural promotion (05-06),LIVELIHOOD-6,9/7/2017,25547,199320,APSS
7,Fruits Supling (Batch-1),LIVELIHOOD-7,9/11/2017,29989,199925,APSS
8,Farmers Training Programe specially for agricultural promotion (07-08),LIVELIHOOD-8,9/12/2017,25547,199320,APSS
9,Farmers Training Programe specially for agricultural promotion (09-10),LIVELIHOOD-9,9/14/2017,25547,198720,APSS
10,Farmers Training Programe specially for agricultural promotion (11-12),LIVELIHOOD-10,9/19/2017,25487,198780,APSS
11,Farmers Training Programe specially for agricultural promotion (13-14),LIVELIHOOD-11,9/21/2017,25487,198780,APSS
12,"Swing Machine, Training & Support service scheme Batch-01 (Part A) ",LIVELIHOOD-12,9/21/2017,29607,197890,SIGS
13,"Swing Machine, Training & Support service scheme Batch-01 (Part B)",LIVELIHOOD-13,9/24/2017,29607,197890,SIGS
14,"Swing Machine, Training & Support service scheme Batch-01 (Part C)",LIVELIHOOD-14,9/25/2017,29048,189620,SIGS
15,Farmers Training Programe specially for agricultural promotion (15-16),LIVELIHOOD-15,9/26/2017,22793,198780,APSS
16,Goat Rearing (Black Bengal),LIVELIHOOD-16,9/27/2017,19200,200000,SIGS
17,WMG member training for strenthening of WMG (Batch-1-2),LIVELIHOOD-17,9/28/2017,21077,199912,LT
18,Farmers Training Programe specially for agricultural promotion (17-18),LIVELIHOOD-18,9/28/2017,22793,198780,APSS
