sl,Training Detail,InvoiceNo,Batch Date,GOB,RPA,Catagory
2,"Kishoreganj-1, Habiganj-1, Netrokona-1 (Batch 1-3)",LIVEHOOD-2,2016-09-26," 25,834.00 "," 173,696.00 ",LT
3,"Kishoreganj-4,5",LIVEHOOD-3,2016-10-03," 26,980.00 "," 199,624.00 ",APSS
4,"Kishoreganj-6,7",LIVEHOOD-4,2016-10-06," 29,548.00 "," 197,033.00 ",APSS
5,"Kishoreganj-8,9",LIVEHOOD-5,2016-10-13," 25,246.00 "," 199,322.00 ",APSS
6,"Kishoreganj-10,11",LIVEHOOD-6,2016-10-17," 24,933.00 "," 199,589.00 ",APSS
7,"Kishoreganj-12,13",LIVEHOOD-7,2016-10-20," 25,670.00 "," 199,590.00 ",APSS
8,"Kishoreganj-14,15",LIVEHOOD-8,2016-10-24," 21,778.00 "," 199,469.00 ",APSS
9,"Kishoreganj-16,17",LIVEHOOD-9,2016-10-25," 25,835.00 "," 199,990.00 ",APSS
10,"Kishoreganj-18,19",LIVEHOOD-10,2016-10-31," 25,933.00 "," 199,861.00 ",APSS
11,"Kishoreganj-20,21",LIVEHOOD-11,2016-11-02," 25,726.00 "," 199,263.00 ",APSS
12,Kishoreganj_Demo_Vegetable_01,LIVEHOOD-12,2016-11-06," 38,953.00 "," 199,760.00 ",SIGS
13,"Kishoreganj-22,23",LIVEHOOD-13,2016-11-09," 25,966.00 "," 199,654.00 ",APSS
14,"Kishoreganj-24,25",LIVEHOOD-14,2016-11-10," 25,831.00 "," 199,266.00 ",APSS
15,Kishoreganj_Demo_Major Crop_01,LIVEHOOD-15,2016-11-13," 39,000.00 "," 200,000.00 ",APSS
16,"Kishoreganj-26,27",LIVEHOOD-16,2016-11-14," 25,348.00 "," 199,165.00 ",APSS
17,"Kishoreganj-28,29",LIVEHOOD-17,2016-11-16," 25,003.00 "," 196,165.00 ",APSS
18,Kishoreganj_Demo_Major Crop_02,LIVEHOOD-18,2016-11-17," 39,000.00 "," 200,000.00 ",APSS
19,"Kishoreganj-30,31",LIVEHOOD-19,2016-11-22," 25,154.00 "," 197,046.00 ",APSS
20,"Kishoreganj-32,33",LIVEHOOD-20,2016-11-24," 25,154.00 "," 197,046.00 ",APSS
21,Kishoreganj_Demo_Major Crop_03,LIVEHOOD-21,2016-11-27," 39,000.00 "," 200,000.00 ",APSS
22,"Kishoreganj-34,35",LIVEHOOD-22,2016-11-29," 25,154.00 "," 194,246.00 ",APSS
