Chainage,X,Y,Distance,RL,Remarks,LB_RB,CL
0,302118.7638,2706836.96,81.11502793,0.25,,river,CL
50,302168.2228,2706823.057,87.7063568,0.18,,river,CL
100,302215.0374,2706816.738,86.12436968,-0.04,,river,CL
150,302258.5576,2706826.456,82.88922683,0.67,,river,CL
200,302305.0718,2706845.413,49.22687175,-0.89,,river,CL
250,302350.9567,2706865.655,47.71549143,0.53,,river,CL
300,302386.7016,2706883.176,59.99375114,0.77,,RB,CL
350,302411.6784,2706924.287,50.94093674,-1.01,,river,CL
400,302427.8352,2706971.309,51.81497963,0.45,,river,CL
450,302429.1483,2707019.595,57.40232465,-1.71,,river,CL
500,302464.7777,2707053.591,38.74901971,-0.1,,river,CL
550,302507.8072,2707078.565,43.15100188,0.73,,river,CL
600,302552.2219,2707104.423,41.93269765,-0.02,,river,CL
650,302595.62,2707127.32,42.89456897,0.12,,river,CL
700,302637.7411,2707152.37,39.01190643,-0.2,,river,CL
750,302681.2993,2707178.967,44.60938766,0.44,,river,CL
850,302726.4865,2707264.709,53.97047095,-0.7,,river,CL
900,302725.6567,2707316.465,45.74313629,-0.44,,river,CL
950,302716.162,2707364.408,37.26001253,-0.38,,river,CL
1000,302706.3839,2707414.556,47.24182011,0.03,,river,CL
1050,302697.8787,2707461.9,52.05749827,0.45,,river,CL
1100,302687.4193,2707511.701,54.00438767,0.75,,river,CL
1150,302673.2141,2707558.103,57.95329302,0.56,,river,CL
1200,302655.4342,2707605.285,74.1316363,0.78,,river,CL
1250,302637.97,2707650.58,70.21408192,-0.63,,river,CL
1300,302611.54,2707694.28,58.06074405,-3.12,,river,CL
1350,302597.01,2707740.28,61.06909993,-3.63,,river,CL
1400,302591.23,2707788.71,46.36165454,-3,,river,CL
1450,302586.67,2707836.47,56.97218444,-3.08,,river,CL
1500,302579.854,2707887.18,68.84988893,-2.8,,river,CL
1550,302562.7897,2707932.44,66.78565649,0.65,,river,CL
1600,302535.3239,2707977.499,42.64654718,1.31,river,LB,CL
1650,302495.4,2708005.165,40.23239918,1.03,river,LB,CL
1700,302451.9512,2708037.488,45.74341278,1.57,river,LB,CL
1750,302411.129,2708063.968,54.67013947,1.31,wl,LB,CL
1800,302363.2615,2708093.569,57.56594976,1.06,river,LB,CL
