SL,Date,Chainage,UTM_X,UTM_Y,BTM_X,BTM_Y,Distance,RL_mPWD,Remarks
36,05.03.2018,220,294513.3647,2703574.423,598933.044,702121.115,93.2978248,0.41,CL
78,04/03/2018,280,294578.86,2703586.79,598998.72,702135.536,99.764143,-0.68,CL
132,04/03/2018,330,294632.31,2703579.65,599051.838,702129.688,100.204889,-0.69,CL
178,04/03/2018,380,294676.19,2703559.44,599096.264,702109.654,155.094381,-0.05,CL
248,04/03/2018,430,294725.79,2703540.66,599146.622,702092.748,136.763429,-0.04,CL
323,04/03/2018,480,294773.05,2703517.45,599194.111,702069.781,112.626547,0.28,CL
408,04/03/2018,530,294816.79,2703490.11,599238.667,702043.751,95.512706,-0.33,CL
509,04/03/2018,580,294864.62,2703479.24,599286.875,702033.797,86.252871,-0.9,CL
589,04/03/2018,630,294914.8,2703471.23,599337.016,702026.885,80.532038,-1.52,CL
672,04/03/2018,680,294966.7,2703468.94,599389.026,702026.012,79.85886,-1.25,CL
749,04/03/2018,730,295014.74,2703460.27,599437.19,702018.057,109.383957,-1.01,CL
828,04/03/2018,780,295061.14,2703438.41,599483.637,701997.067,95.730506,-2.09,CL
903,04/03/2018,830,295113.05,2703433.74,599535.69,701994.196,99.928466,-1.51,CL
985,04/03/2018,880,295161.92,2703425.44,599584.854,701986.262,120.049753,-1.98,CL
1058,04/03/2018,930,295204.99,2703424.98,599627.826,701987.193,80.595462,-1.81,CL
1155,04/03/2018,980,295260.63,2703404.32,599684.245,701967.419,100.599094,-3.35,CL
1240,04/03/2018,1030,295315.61,2703398.12,599739.34,701962.614,99.811168,-4.67,CL
1342,04/03/2018,1080,295353.84,2703439.52,599776.406,702005.41,100.089995,-4.51,CL
1421,04/03/2018,1130,295405,2703449.04,599827.179,702015.508,96.143235,-6.48,CL
1526,04/03/2018,1180,295442.24,2703483.34,599863.419,702050.288,103.800329,-8.84,CL
1613,04/03/2018,1230,295481.74,2703512.85,599902.744,702081.135,110.887646,-12.54,CL
1697,04/03/2018,1280,295498.36,2703562.48,599917.673,702130.45,100.286048,-14.12,CL
1786,04/03/2018,1330,295511.62,2703595.77,599930.928,702164.731,99.64325,-14.19,CL
1886,04/03/2018,1380,295539.14,2703642.29,599956.915,702211.287,101.265683,-10.96,CL
1979,04/03/2018,1430,295554.97,2703688.6,599971.887,702258.603,124.350315,-6.49,CL
2064,04/03/2018,1480,295593.61,2703728.14,600010.018,702298.423,98.901829,-0.82,CL
2138,04/03/2018,1530,295605.94,2703772.95,600021.036,702343.654,80.315097,-0.94,CL
2212,04/03/2018,1580,295617.93,2703826.31,600031.881,702396.88,79.870161,-1.03,CL
2289,04/03/2018,1630,295622.69,2703870.63,600035.903,702441.96,81.698759,-0.93,CL
2372,04/03/2018,1680,295625.63,2703923.99,600037.753,702494.991,84.634214,-0.97,CL
2433,04/03/2018,1730,295631.61,2703974.74,600042.645,702546.089,93.94196,-0.9,CL
2514,04/03/2018,1780,295632.79,2704025.96,600042.54,702597.078,88.722415,-0.98,CL
2587,04/03/2018,1830,295636.01,2704073.04,600044.52,702644.113,99.801565,-1.52,CL
2660,04/03/2018,1880,295640.41,2704124.09,600047.413,702695.167,69.490648,-3.03,CL
2723,04/03/2018,1930,295641.02,2704176.16,600047.287,702747.156,81.366239,-3.42,CL
2792,04/03/2018,1980,295638.41,2704222.22,600043.292,702793.062,80.164484,-3.91,CL
2856,04/03/2018,2030,295640.89,2704274.73,600045.143,702846.093,69.523827,-4.07,CL
2937,04/03/2018,2080,295634.24,2704334.99,600036.848,702905.903,85.812107,-4.14,CL
3020,04/03/2018,2130,295629.03,2704353.01,600031.461,702923.783,74.816582,-3.91,CL
3087,04/03/2018,2180,295627.6,2704423.31,600028.945,702993.717,74.676912,-4.05,CL
3168,04/03/2018,2230,295611.17,2704484.96,600010.613,703055.31,79.739058,-3.75,CL
3240,04/03/2018,2280,295603.94,2704516.41,600002.946,703086.138,91.2976,-3.62,CL
3315,04/03/2018,2330,295591.97,2704570.56,599989.763,703140.843,90.674442,-3.36,CL
3397,04/03/2018,2380,295580.22,2704619.65,599976.709,703189.552,86.124531,-3.43,CL
3475,04/03/2018,2430,295569.04,2704663.43,599964.785,703232.287,80.20557,-3.74,CL
3577,04/03/2018,2480,295550.13,2704709.44,599944.8,703277.846,94.946672,-4.42,CL
3688,04/03/2018,2530,295504.61,2704748.65,599898.963,703316.846,85.069302,-3.19,CL
3771,04/03/2018,2580,295482.26,2704792,599875.046,703359.32,69.581015,-2.95,CL
3841,04/03/2018,2630,295450.18,2704833.35,599842.178,703399.601,60.954531,-3.51,CL
3907,04/03/2018,2680,295431.18,2704880.05,599822.172,703446.159,85.916002,-2.14,CL
3967,04/03/2018,2730,295403.28,2704919.53,599793.324,703485.527,91.109886,-2.99,CL
4018,04/03/2018,2780,295384,2704967.78,599773.296,703533.085,59.581276,-2.53,CL
4066,04/03/2018,2830,295357.77,2705008.02,599746.446,703572.496,68.118515,-2.95,CL
4119,04/03/2018,2880,295336.06,2705055.78,599723.42,703619.989,59.527909,-3.23,CL
4171,04/03/2018,2930,295319.77,2705108.22,599706.304,703671.609,59.616787,-3.15,CL
4231,04/03/2018,2980,295311.08,2705152.98,599696.335,703716.386,54.375057,-3.63,CL
4286,04/03/2018,3030,295313.72,2705198.68,599698.336,703762.421,89.615966,-3.56,CL
4359,04/03/2018,3080,295324.92,2705262.1,599707.964,703825.619,75.579735,-4.41,CL
4421,04/03/2018,3130,295364.91,2705283.76,599747.462,703848.472,80.86517,-5.8,CL
4496,04/03/2018,3180,295414.31,2705311.37,599795.846,703876.516,87.613679,-4.38,CL
4542,04/03/2018,3230,295463.17,2705315.94,599844.707,703882.575,75.291045,-1.5,CL
4605,04/03/2018,3280,295513.83,2705310.85,599895.782,703878.683,91.222846,-1.04,CL
4672,04/03/2018,3330,295562.27,2705306.2,599943.86,703874.726,96.306755,0,CL
4759,04/03/2018,3380,295610.89,2705289.44,599993.197,703858.798,85.317042,-0.37,CL
4839,04/03/2018,3430,295664.06,2705279.33,600046.38,703849.953,84.770816,0.18,CL
4900,04/03/2018,3480,295704.61,2705250.62,600087.961,703822.859,85.116652,-0.26,CL
4955,04/03/2018,3530,295749.04,2705229.28,600132.409,703801.826,74.933187,-0.17,CL
5021,04/03/2018,3580,295792.34,2705201.34,600175.989,703774.776,68.938169,-0.7,CL
5080,04/03/2018,3630,295834.99,2705181.7,600219.373,703756.719,69.847746,-0.68,CL
5144,04/03/2018,3680,295879.53,2705153.89,600264.951,703729.712,66.436072,-0.93,CL
5199,04/03/2018,3730,295923.19,2705126.94,600308.509,703703.66,69.255835,-0.98,CL
5264,04/03/2018,3780,295966.73,2705104.86,600352.958,703682.628,70.261956,-1.5,CL
5320,04/03/2018,3830,296005.51,2705078.79,600392.496,703657.489,69.016572,-2.08,CL
5379,04/03/2018,3880,296051.75,2705052.48,600439.052,703631.503,65.083157,-2.48,CL
5444,04/03/2018,3930,296095.21,2705030.4,600482.501,703610.448,70.165815,-2.89,CL
5507,04/03/2018,3980,296135.4,2704996.51,600523.191,703578.335,81.189593,-1.48,CL
5559,04/03/2018,4030,296178.82,2704969.53,600567.748,703552.306,64.970557,-1.28,CL
5619,04/03/2018,4080,296223.02,2704947.63,600612.197,703531.273,64.094909,-1.3,CL
5666,04/03/2018,4130,296268.04,2704921.3,600657.753,703505.264,63.56203,-1.1,CL
5720,04/03/2018,4180,296310.1,2704899.23,600700.203,703484.188,59.610929,-1.2,CL
5781,04/03/2018,4230,296358.77,2704885.43,600749.476,703471.258,64.802478,-0.98,CL
5849,04/03/2018,4280,296419.61,2704857.87,600811.022,703445.597,70.811237,-1.07,CL
5905,04/03/2018,4330,296448.6,2704845.06,600840.286,703433.233,54.638466,-1.18,CL
5947,04/03/2018,4380,296496.65,2704827.06,600888.645,703416.284,55.418846,-1.27,CL
6009,04/03/2018,4430,296544.74,2704815.35,600936.875,703405.332,61.233648,-1.14,CL
6059,04/03/2018,4480,296594.57,2704801.24,600987.147,703392.423,65.66252,-1.02,CL
6116,04/03/2018,4530,296636.08,2704784.2,601028.489,703376.322,58.842955,-1.48,CL
6166,04/03/2018,4580,296687.64,2704766.95,601080.825,703360.459,62.115448,-1.41,CL
6230,04/03/2018,4630,296737.29,2704748.26,601130.206,703342.533,60.502195,-1.68,CL
6288,04/03/2018,4680,296767.4,2704729.98,601160.577,703325.194,75.178056,-1.89,CL
6344,04/03/2018,4730,296817.38,2704705.08,601211.087,703301.292,63.284866,-2.09,CL
6398,04/03/2018,4780,296859.4,2704687.13,601253.451,703284.214,28.232196,-2.01,CL
6448,04/03/2018,4830,296909.97,2704657.78,601305.047,703256.336,60.102084,-2.55,CL
6491,04/03/2018,4880,296955.52,2704633.75,601351.538,703233.348,57.476977,-2.81,CL
6539,04/03/2018,4930,297004.27,2704614.75,601399.919,703215.399,50.143548,-2.64,CL
6582,04/03/2018,4980,297053.06,2704615.69,601448.867,703217.46,68.3385,-2.34,CL
6635,04/03/2018,5030,297094.14,2704624.84,601489.646,703227.343,75.279835,-2.26,CL
6700,04/03/2018,5080,297141.8,2704653.6,601536.988,703257.364,72.05184,-2.18,CL
6750,04/03/2018,5130,297184.71,2704683.73,601579.312,703288.277,76.459216,-2.77,CL
6816,04/03/2018,5180,297212.28,2704716.61,601605.58,703321.841,86.402444,-2.23,CL
6875,04/03/2018,5230,297233.58,2704767.94,601626.462,703373.286,80.755547,-3.07,CL
6928,04/03/2018,5280,297249.16,2704818.06,601640.369,703423.58,56.523843,-3.06,CL
6987,04/03/2018,5330,297226.53,2704865.94,601617.343,703471.073,55.61191,-2.19,CL
7037,04/03/2018,5380,297219.76,2704920.34,601609.178,703524.888,55.360466,-1.29,CL
7111,04/03/2018,5430,297190.68,2704963.62,601579.243,703568.232,85.182923,-2.41,CL
7173,04/03/2018,5480,297178.1,2705000.75,601565.449,703604.927,59.222657,-2.99,CL
7249,04/03/2018,5530,297149.69,2705051.22,601536.384,703654.29,102.921234,-3.52,CL
7298,04/03/2018,5580,297127.49,2705095.05,601512.445,703697.764,69.873189,-3.46,CL
7356,04/03/2018,5630,297099.06,2705137.34,601483.552,703739.131,79.217892,-2.71,CL
7405,04/03/2018,5680,297069.67,2705178.41,601453.682,703779.477,69.780003,-2.46,CL
7465,04/03/2018,5730,297036.74,2705210.45,601420.01,703810.742,66.218956,-2.75,CL
7512,04/03/2018,5780,297008.61,2705255.59,601391.031,703856.107,65.11467,-2.22,CL
