sl,Training Detail,InvoiceNo,Batch Date,GOB,RPA,Catagory
1,"Advance (2,00,000.00)",LIVELIHOOD-1,2017-08-27,0,0,APSS
2,Fartilizer (T. Amon - 01),LIVELIHOOD-2,2017-08-28,19260,199580,APSS
3,Farmers Training Programe specially for agricultural promotion (01-02),LIVELIHOOD-3,2017-08-29,25547,199319,APSS
4,Fartilizer (T. Amon - 02),LIVELIHOOD-4,2017-08-30,19296,199949,APSS
5,Farmers Training Programe specially for agricultural promotion (03-04),LIVELIHOOD-5,2017-08-31,25547,199320,APSS
6,Farmers Training Programe specially for agricultural promotion (05-06),LIVELIHOOD-6,2017-09-07,25547,199320,APSS
7,Fruits Supling (Batch-1),LIVELIHOOD-7,2017-09-11,29989,199925,APSS
8,Farmers Training Programe specially for agricultural promotion (07-08),LIVELIHOOD-8,2017-09-12,25547,199320,APSS
9,Farmers Training Programe specially for agricultural promotion (09-10),LIVELIHOOD-9,2017-09-14,25547,198720,APSS
10,Farmers Training Programe specially for agricultural promotion (11-12),LIVELIHOOD-10,2017-09-19,25487,198780,APSS
11,Farmers Training Programe specially for agricultural promotion (13-14),LIVELIHOOD-11,2017-09-21,25487,198780,APSS
12,"Swing Machine, Training & Support service scheme Batch-01 (Part A) ",LIVELIHOOD-12,2017-09-21,29607,197890,SIGS
13,"Swing Machine, Training & Support service scheme Batch-01 (Part B)",LIVELIHOOD-13,2017-09-24,29607,197890,SIGS
14,"Swing Machine, Training & Support service scheme Batch-01 (Part C)",LIVELIHOOD-14,2017-09-25,29048,189620,SIGS
15,Farmers Training Programe specially for agricultural promotion (15-16),LIVELIHOOD-15,2017-09-26,22793,198780,APSS
16,Goat Rearing (Black Bengal),LIVELIHOOD-16,2017-09-27,19200,200000,SIGS
17,WMG member training for strenthening of WMG (Batch-1-2),LIVELIHOOD-17,2017-09-28,21077,199912,LT
18,Farmers Training Programe specially for agricultural promotion (17-18),LIVELIHOOD-18,2017-09-28,22793,198780,APSS
19,Livestock Batch-01 & Ducks Batch-01,LIVELIHOOD-19,2017-10-02,31438,196870,SIGS
20,Farmers Training Programe specially for agricultural promotion (19-20),LIVELIHOOD-20,2017-10-03,23095,198960,APSS
21,"Swing Machine, Training & Support service scheme Batch-2, Part-A",LIVELIHOOD-21,2017-10-03,17834,199469,SIGS
22,"Swing Machine, Training & Support service scheme Batch-2, Part-B",LIVELIHOOD-22,2017-10-04,18479,140895,SIGS
23,Goat Rearing (Black Bengal) Batch-2,LIVELIHOOD-23,2017-10-04,19200,200000,SIGS
24,Farmers Training Programe specially for agricultural promotion (21-22),LIVELIHOOD-24,2017-10-05,22895,199100,APSS
25,Duck Rearing (Batch-02),LIVELIHOOD-25,2017-10-08,38805,199000,SIGS
26,Fruits Suplings (Batch-2),LIVELIHOOD-26,2017-10-09,29989,199925,SIGS
27,Farmers Training Programe specially for agricultural promotion (23-24),LIVELIHOOD-27,2017-10-10,23095,198660,APSS
28,Duck Rearing (Batch-03),LIVELIHOOD-28,2017-10-11,38805,199000,SIGS
29,Fruits Suplings (Batch-3),LIVELIHOOD-29,2017-10-11,29989,199925,SIGS
30,Farmers Training Programe specially for agricultural promotion (25-26),LIVELIHOOD-30,2017-10-12,23095,198960,APSS
31,WMG member training for strenthening of WMG (Batch-3-4),LIVELIHOOD-31,2017-10-12,21077,198912,LT
32,Small Scale Vegetable (Batch-1),LIVELIHOOD-32,2017-10-15,38815,199050,SIGS
33,Home-Stead vegetable (Batch-1),LIVELIHOOD-33,2017-10-15,38906,199520,SIGS
34,Goat Rearing (Black Bengal) Batch-3,LIVELIHOOD-34,2017-10-16,19200,200000,SIGS
35,Farmers Training Programe specially for agricultural promotion (27-28),LIVELIHOOD-35,2017-10-17,23095,198260,APSS
36,Duck Rearing (Batch-04),LIVELIHOOD-36,2017-10-18,38805,199000,SIGS
37,Farmers Training Programe specially for agricultural promotion (29-30),LIVELIHOOD-37,2017-10-19,23115,199140,APSS
38,WMG member training for strenthening of WMG (Batch 5-6),LIVELIHOOD-38,2017-10-19,19801,196352,LT
39,TOT (Training for Trainers) for- IFM(Integrated Firm Management) for FFS(Farmer Field School) 01 ,LIVELIHOOD-39,2017-10-22,12622,199780,APSS
40,IFM-FFS - Bill noTOT (Training for Trainers) for- IFM(Integrated Firm Management) for FFS(Farmer Field School,LIVELIHOOD-40,2017-10-23,24796,199800,APSS
41,Duck Rearing  (Batch-05),LIVELIHOOD-41,2017-10-23,38805,199000,SIGS
42,Goats Rearing Bill no-04,LIVELIHOOD-42,2017-10-24,19200,200000,SIGS
43,Farmers Training Programe specially for agricultural promotion (31-32),LIVELIHOOD-43,2017-10-24,23095,198960,APSS
44,TOT (Training for Trainers) for- IFM(Integrated Firm Management) for FFS(Farmer Field School-03 ,LIVELIHOOD-44,2017-10-25,18318,197900,APSS
45,Farmers Training Programe specially for agricultural promotion (33-34),LIVELIHOOD-45,2017-10-26,23095,198960,APSS
46,WMG member training for strenthening of WMG(Batch 7-8),LIVELIHOOD-46,2017-10-26,20905,198912,LT
47,Goats Rearing Bill no-05,LIVELIHOOD-47,2017-10-29,19200,200000,SIGS
48,TOT (Training for Trainers) for- IFM(Integrated Firm Management) for FFS(Farmer Field School-04,LIVELIHOOD-48,2017-10-29,17519,194540,APSS
49,Duck Rearing (Batch-06),LIVELIHOOD-49,2017-10-30,38805,199000,SIGS
50,Small Scale Vegetable (Batch-2,LIVELIHOOD-50,2017-10-30,38903,199500,SIGS
51,Farmers Training Programe specially for agricultural promotion (35-36),LIVELIHOOD-51,2017-10-31,23095,198960,APSS
