Sl. No.,"Name of 
Haor",Name of WMG & #,Name of XO,Demo#,N,D,M,S,Lat,E,D,M,S,Lon,Demo Area (Dec.),Date of Seedling,Transplanting,Harvesting,Seedling Age,Growth Duration (days),Total Cost(tk),Cultivation cost (tk/Ha),Production (kg/plot),Selling Price(tk),Yield (Kg/Ha),Total Sell Value(tk),Comparative Production(kg),Comparative Yield (Kg/Ha),Rice sold (tk/Ha),Net benefit (tk/Ha)
346,Chatal,Kumariabad#210,Kaysar Khan,25.26,24ø30'32.1'',24,30,32.1,24.50891667, 91ø12'30.2'',91,12,30.2,91.2045,35,43436,43474,43578,38,142,7920,55915.2,780,15,5506.8,11700,583.3333333,4118.333333,82602,26686.8
347,Chatal,Kumariabad#210,Kaysar Khan,25.25,24ø30'38.5'',24,30,38.5,24.51069444, 91ø27'16.2'',91,27,16.2,91.46119444,35,43439,43478,43580,39,141,8115,57291.9,840,15,5930.4,12600,773.6842105,5462.210526,88956,31664.1
348,Chatal,Kumariabad#210,Kaysar Khan,25.24, 24ø30'33.0'',24,30,33,24.50916667,91ø12'40.3'',91,12,40.3,91.21097222,35,43432,43469,43573,37,141,7890,55703.4,780,14.5,5506.8,11310,630,4447.8,79848.6,24145.2
349,Chatal,Kumariabad#210,Kaysar Khan,25.22,24ø30'41.9'',24,30,41.9,24.51163889,91ø12'39.5'',91,12,39.5,91.21055556,35,43438,43474,43578,36,140,7470,52738.2,840,15,5930.4,12600,700,4942,88956,36217.8
350,Chatal,Kumariabad#210,Kaysar Khan,25.21, 24ø30'42.0'',24,30,42,24.51166667, 91ø12'38.0'',91,12,38,91.20575,35,43435,43471,43575,36,140,7670,54150.2,820,15,5789.2,12300,658.8235294,4651.294118,86838,32687.8
351,Chatal,Kumariabad#210,Kaysar Khan,25.17,24ø30'44.9'',24,30,44.9,24.51247222,91ø12'20.7'',91,12,20.7,91.2105,35,43430,43467,43571,37,141,7720,54503.2,860,15,6071.6,12900,700,4942,91074,36570.8
352,Chatal,Kumariabad#210,Kaysar Khan,25.14,24ø30'41.6'',24,30,41.6,24.51155556, 91ø12'37.8'',91,12,37.8,91.20430556,35,43429,43469,43570,40,141,7565,53408.9,780,15,5506.8,11700,770,5436.2,82602,29193.1
353,Chatal,Kumariabad#210,Kaysar Khan,25.13,24ø30'39.6'',24,30,39.6,24.511,91ø27'15.5'',91,27,15.5,91.45455556,35,43435,43471,43575,36,140,7060,49843.6,820,15,5789.2,12300,608.6956522,4297.391304,86838,36994.4
354,Chatal,Kumariabad#210,Kaysar Khan,25.1,24ø30'38.5'',24,30,38.5,24.51069444,91ø27'16.4'',91,27,16.4,91.45547222,35,43428,43466,43574,38,146,6380,45042.8,840,15,5930.4,12600,746.6666667,5271.466667,88956,43913.2
355,Chatal,Kumariabad#210,Kaysar Khan,25.09,24ø30'50.3'',24,30,50.3,24.51397222,91ø12'19.7'',91,12,19.7,91.20816667,35,43427,43465,43568,38,141,6910,48784.6,840,15,5930.4,12600,636.3636364,4492.727273,88956,40171.4
356,Chatal,Kumariabad#210,Kaysar Khan,25.08,24ø30'30.6'',24,30,30.6,24.5085, 91ø12'29.4'',91,12,29.4,91.20833333,35,43432,43474,43573,42,141,6460,45607.6,820,14.5,5789.2,11890,642.3529412,4535.011765,83943.4,38335.8
